symbol,name,status,observed_daily_rows,calendar_start,calendar_end,successful_model_horizon_tests,processing_seconds,message
aave,Aave,PROCESSED,53,2026-02-04,2026-04-17,0,1.1530716000124812,
ada,Cardano,PROCESSED,113,2026-01-26,2026-05-20,12,7.16822840005625,
aster,Aster,PROCESSED,83,2026-02-08,2026-05-20,6,3.588976399973035,
avax,Avalanche,PROCESSED,113,2026-01-26,2026-05-20,12,6.260212900000624,
bch,Bitcoin Cash,PROCESSED,113,2026-01-26,2026-05-20,12,6.236747399903834,
bgb,Bitget Token,PROCESSED,25,2026-01-31,2026-02-28,0,0.4121443999465555,
bnb,BNB,PROCESSED,151,2026-01-26,2026-06-28,12,7.2906635999679565,
bsc-usd,Binance Bridged USDT (BNB Smart Chain),PROCESSED,10,2026-01-26,2026-02-04,0,0.11567089997697622,
btc,Bitcoin,PROCESSED,151,2026-01-26,2026-06-28,12,7.21983860002365,
buidl,BlackRock USD Institutional Digital Liquidity Fund,PROCESSED,104,2026-02-04,2026-05-20,12,5.920930900028907,
cbbtc,Coinbase Wrapped BTC,PROCESSED,10,2026-01-26,2026-02-04,0,0.10646470007486641,
cc,Canton,PROCESSED,113,2026-01-26,2026-05-20,12,6.11108169995714,
cro,Cronos,PROCESSED,113,2026-01-26,2026-05-20,12,5.234482300002128,
dai,Dai,PROCESSED,113,2026-01-26,2026-05-20,12,5.401076199952513,
doge,Dogecoin,PROCESSED,132,2026-01-26,2026-06-14,12,5.993821699987166,
dot,Polkadot,PROCESSED,113,2026-01-26,2026-05-20,12,6.170932099921629,
eth,Ethereum,PROCESSED,151,2026-01-26,2026-06-28,12,6.437353200046346,
figr_heloc,Figure Heloc,PROCESSED,151,2026-01-26,2026-06-28,12,6.245703699998558,
hbar,Hedera,PROCESSED,113,2026-01-26,2026-05-20,12,5.865671800100245,
htx,HTX DAO,BLOCKED_NO_POSITIVE_PRICE,0,,,0,0.0,No positive source price; forecast intentionally unavailable.
