symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
algo,Algorand,1,ARIMA,success,VALIDATED,292,72,True,0.0061496314410677865,0.008902744662032626,3.4481538792724735,3.4026687937263427,4.978192573229919,0.5679189565929714,2.7213289307074575,6.053278519681154,50.0,,"(1, 1, 2)"
algo,Algorand,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.006198158586745216,0.009052282109263126,3.4644329813207664,3.425252916410045,5.043342601633824,0.5724004423866592,2.6085445899902764,6.165148982362479,0.0,,
algo,Algorand,1,XGBoost,success,EXPERIMENTAL,292,72,True,0.01779292797144117,0.03096207581463629,11.616094297836895,9.83144287221897,22.0577711315106,1.64317832460545,4.316723751081248,25.400651440380038,44.44444444444444,,
algo,Algorand,3,ARIMA,success,VALIDATED,292,70,True,0.010608545018926512,0.013949845668904703,6.02961691105243,5.860650684658878,7.929415815068348,0.9796999829752722,4.590665391188937,12.885735761251437,55.714285714285715,,"(1, 1, 2)"
algo,Algorand,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.010776932122799761,0.014377891046625008,6.100661018455427,5.96460711164027,8.094208354205607,0.9952505455174078,4.640491970770473,14.594922654091713,0.0,,
algo,Algorand,3,XGBoost,success,EXPERIMENTAL,292,70,True,0.026322374328966346,0.03562103631020987,16.757617146782554,14.437513784762404,24.036883997953087,2.4308733795208597,8.576831752071884,43.434764063000884,38.57142857142858,,
algo,Algorand,7,ARIMA,success,VALIDATED,292,66,True,0.01418880549182213,0.01745904531038975,8.257370039803693,7.855545079106091,10.346260289709551,1.3103373246734096,6.3609152864962955,18.70005996360327,62.121212121212125,,"(1, 1, 2)"
algo,Algorand,7,Naive,success,VALIDATED_BASELINE,292,66,True,0.01441630475606387,0.017833728850422267,8.345898472608939,7.9779572475846425,10.461655118084495,1.3313468999645435,6.8346927598073055,17.244117060654645,0.0,,
algo,Algorand,7,XGBoost,success,EXPERIMENTAL,292,66,True,0.051400182531725735,0.0653805788037885,32.907873073301545,25.6998885519603,44.43110203991712,4.746810977510772,19.952052608728877,85.71814142329465,37.878787878787875,,
algo,Algorand,14,ARIMA,success,VALIDATED,292,59,True,0.019891454931783834,0.023636981039929773,12.093868056303728,11.141521599282525,14.603719260969372,1.8369774576300935,11.045315118362739,22.019758445625573,45.76271186440678,,"(1, 1, 2)"
algo,Algorand,14,Naive,success,VALIDATED_BASELINE,292,59,True,0.019761068524228237,0.02386497829547735,11.948841603545608,11.007687767525507,14.684620691080045,1.8249362624393743,10.111341778524514,22.95508438033878,0.0,,
algo,Algorand,14,XGBoost,success,EXPERIMENTAL,292,59,True,0.053821904462902824,0.06668718810886781,34.69483977485679,27.16009079887823,45.48362541315758,4.970457192002222,22.529889380027978,87.30995916774378,28.8135593220339,,
algo,Algorand,30,ARIMA,success,VALIDATED,292,43,True,0.037156756862147124,0.03932949823282895,23.396575098959175,20.65112698353838,25.074331580298036,3.4314294750427012,23.636797944798722,36.283649562290194,39.53488372093023,,"(1, 1, 2)"
algo,Algorand,30,Naive,success,VALIDATED_BASELINE,292,43,True,0.03625291827565746,0.038834030627757095,22.8474169490021,20.174444815713017,24.765755780085893,3.347959909120463,24.028662849825494,36.286802960700264,0.0,,
algo,Algorand,30,XGBoost,success,EXPERIMENTAL,292,43,True,0.05136552114374281,0.06187041479575474,34.12811957734814,27.17837485502071,42.58686921044859,4.743609995551776,27.84287437487924,68.67466892068718,48.837209302325576,,
apt,Aptos,1,ARIMA,success,VALIDATED,292,72,True,0.14161469339543864,0.22348259506482818,4.153157285280384,4.049351353836859,6.411845749061612,0.6331831355859805,2.704194113841278,7.291413981405072,54.166666666666664,,"(1, 1, 2)"
apt,Aptos,1,Naive,success,VALIDATED_BASELINE,292,72,True,0.14335705678737348,0.22542953892668186,4.219024892691024,4.116673323200277,6.488615979865926,0.6409735356453508,2.870865178468697,7.654799613359521,0.0,,
apt,Aptos,1,XGBoost,success,EXPERIMENTAL,292,72,True,1.2092064758024483,1.4129314797622858,43.84621579191899,32.884943259303306,55.83406368061618,5.406565728186851,41.12912928780534,93.89640258433364,47.22222222222222,,
apt,Aptos,3,ARIMA,success,VALIDATED,292,70,True,0.31179478072846073,0.44621112941672303,9.374721628744549,8.87933929142525,12.972673423576058,1.3940869565682295,5.907740950041106,20.632558582790885,40.0,,"(1, 1, 2)"
apt,Aptos,3,Naive,success,VALIDATED_BASELINE,292,70,True,0.29925679102764047,0.4390299125233343,8.945402822777615,8.501228624807696,12.761621408213955,1.3380274937938264,5.517098216435407,19.46745839526089,0.0,,
apt,Aptos,3,XGBoost,success,EXPERIMENTAL,292,70,True,1.5428310330774302,1.743959358796961,55.139615936878656,39.81846909061537,67.29413918853496,6.898257290827071,51.12755849829168,110.26793802409031,44.285714285714285,,
