symbol,name,horizon_days,model,status,model_status,train_rows,test_rows,eligible_for_comparison,mae,rmse,mape,smape,rmspe,mase,absolute_percentage_error_p50,absolute_percentage_error_p90,directional_accuracy,error_message,arima_order
aave,Aave,1,ARIMA,limited_training_data,VALIDATED,44,7,False,3.3746755920658598,4.4042986534507955,3.12767342897872,3.0604074795376293,4.121057829377384,0.7479951054578967,3.1643102155793947,5.940311208859035,57.14285714285714,,"(1, 1, 2)"
aave,Aave,1,Naive,limited_training_data,VALIDATED_BASELINE,44,7,False,3.3871428571428543,4.5246799413249725,3.105731273788915,3.0609548323844358,4.200770746092344,0.7507584683357873,2.09140899666457,6.490253103136462,0.0,,
aave,Aave,1,XGBoost,insufficient_data,EXPERIMENTAL,44,7,False,,,,,,,,,,"train=44, test=7, required_train=60, required_test=5",
aave,Aave,3,ARIMA,limited_training_data,VALIDATED,44,5,False,4.927914247514593,5.474464293601349,4.588480515466154,4.466763382812834,5.149874082137384,1.0922696527996263,3.935953323883992,7.360813752339973,40.0,,"(1, 1, 2)"
aave,Aave,3,Naive,limited_training_data,VALIDATED_BASELINE,44,5,False,3.846000000000001,4.414818229553738,3.5290052984992686,3.511357295096325,4.03943420058601,0.8524639175257734,4.192812321734166,5.459634578439046,0.0,,
aave,Aave,3,XGBoost,insufficient_data,EXPERIMENTAL,44,5,False,,,,,,,,,,"train=44, test=5, required_train=60, required_test=5",
aave,Aave,7,ARIMA,limited_training_data,VALIDATED,44,1,False,9.015031855913449,9.015031855913449,8.571051393718813,8.21883126775755,8.571051393718813,1.998177163939579,8.571051393718813,8.571051393718813,0.0,,"(1, 1, 2)"
aave,Aave,7,Naive,limited_training_data,VALIDATED_BASELINE,44,1,False,5.289999999999992,5.289999999999992,5.029473283894268,4.906097843728255,5.029473283894268,1.1725257731958745,5.029473283894268,5.029473283894268,0.0,,
aave,Aave,7,XGBoost,insufficient_data,EXPERIMENTAL,44,1,False,,,,,,,,,,"train=44, test=1, required_train=60, required_test=5",
aave,Aave,14,ARIMA,insufficient_data,VALIDATED,44,0,False,,,,,,,,,,,"(1, 1, 2)"
aave,Aave,14,Naive,limited_training_data,VALIDATED_BASELINE,38,0,False,,,,,,,,,,,
aave,Aave,14,XGBoost,insufficient_data,EXPERIMENTAL,38,0,False,,,,,,,,,,"train=38, test=0, required_train=60, required_test=5",
aave,Aave,30,ARIMA,insufficient_data,VALIDATED,44,0,False,,,,,,,,,,,"(1, 1, 2)"
aave,Aave,30,Naive,limited_training_data,VALIDATED_BASELINE,23,0,False,,,,,,,,,,,
aave,Aave,30,XGBoost,insufficient_data,EXPERIMENTAL,23,0,False,,,,,,,,,,"train=23, test=0, required_train=60, required_test=5",
ada,Cardano,1,ARIMA,success,VALIDATED,92,20,True,0.0076759332052569185,0.009823889894325527,2.8870723355102905,2.915305276175015,3.617869964231609,0.919092002208394,2.224966516764963,5.244074770366967,40.0,,"(2, 1, 1)"
ada,Cardano,1,Naive,success,VALIDATED_BASELINE,90,20,True,0.008000000000000002,0.010488088481701517,3.0059692223485337,3.0101774853763046,3.9076950126089454,0.9578947368421054,3.703703703703707,6.921182266009842,35.0,,
ada,Cardano,1,XGBoost,success,EXPERIMENTAL,90,20,True,0.009339113593101508,0.012918291952452988,3.462584894748872,3.558753005542391,4.668845854410935,1.1182359697003121,2.133668156770561,6.097350375992925,35.0,,
ada,Cardano,3,ARIMA,success,VALIDATED,92,18,True,0.010631343987616023,0.013501326293319352,3.964855953872352,4.028070225586912,4.948233090836023,1.2729635564119184,3.9361466168359076,7.213062423001624,27.77777777777778,,"(2, 1, 1)"
ada,Cardano,3,Naive,success,VALIDATED_BASELINE,90,18,True,0.009444444444444446,0.014337208778404378,3.569896472195323,3.5433046420837777,5.411302774668502,1.1308479532163744,3.6375661375661403,10.702917771883278,44.44444444444444,,
ada,Cardano,3,XGBoost,success,EXPERIMENTAL,90,18,True,0.009702767597304457,0.013647916147152333,3.5673166590998755,3.6755706771701284,4.869332511553522,1.1617787517825071,2.4460136890411377,8.314084368092683,44.44444444444444,,
ada,Cardano,7,ARIMA,success,VALIDATED,92,15,True,0.01529123451955396,0.01833911353498133,5.671367258084966,5.837300285859845,6.65959216158261,1.8309241332623818,5.493229334389627,9.956509174857985,86.66666666666667,,"(2, 1, 1)"
ada,Cardano,7,Naive,success,VALIDATED_BASELINE,89,15,True,0.02000000000000001,0.022803508501982768,7.540215850560683,7.579127549530808,8.571559259374272,2.394736842105264,7.142857142857148,13.075862068965517,0.0,,
ada,Cardano,7,XGBoost,success,EXPERIMENTAL,89,15,True,0.015374109586079925,0.01933004970005671,5.649662179100768,5.895723501069343,6.974564473719359,1.8408473320174645,4.859140515327457,10.588262573121094,53.333333333333336,,
ada,Cardano,14,ARIMA,success,VALIDATED,92,8,True,0.009613122081180318,0.013560126242554099,3.5776254442888007,3.6996478118957365,4.952607424208065,1.1510448807729063,2.8143597158817135,8.05346937780972,75.0,,"(2, 1, 1)"
ada,Cardano,14,Naive,success,VALIDATED_BASELINE,89,8,True,0.013750000000000012,0.016955824957813188,5.207519332519337,5.318563419562315,6.360327231244492,1.6463815789473697,5.703703703703709,8.814285714285722,25.0,,
ada,Cardano,14,XGBoost,success,EXPERIMENTAL,89,8,True,0.020463346242904662,0.02236087713796737,8.055887837531511,7.684074164512491,8.85953771489779,2.4502164580320054,9.065658083328833,12.031936645507812,50.0,,
ada,Cardano,30,ARIMA,insufficient_data,VALIDATED,92,0,False,,,,,,,,,,,"(2, 1, 1)"
ada,Cardano,30,Naive,limited_test_data,VALIDATED_BASELINE,83,0,False,,,,,,,,,,,
ada,Cardano,30,XGBoost,insufficient_data,EXPERIMENTAL,83,0,False,,,,,,,,,,"train=83, test=0, required_train=60, required_test=5",
aster,Aster,1,ARIMA,success,VALIDATED,77,10,True,0.013945920645273235,0.016223947695956156,2.0752084183490047,2.07408518752774,2.388300452217754,1.341632872203501,1.9583752426560057,3.3148949706615087,0.0,,"(2, 1, 1)"
aster,Aster,1,Naive,success,VALIDATED_BASELINE,65,10,True,0.006999999999999995,0.010488088481701505,1.0268403094490044,1.0315272392038988,1.5214157094801684,0.6734177215189868,0.7575757575757582,2.789855072463769,50.0,,
aster,Aster,1,XGBoost,success,EXPERIMENTAL,65,10,True,0.026942071199417095,0.028663302465828166,4.085165491406756,3.9928851254417856,4.354038322268523,2.591895457159113,4.245678458736211,5.393235773771961,20.0,,
aster,Aster,3,ARIMA,success,VALIDATED,77,6,True,0.022993689100994547,0.02486413273345954,3.43620828249645,3.4218764120637157,3.7323656130597977,2.212051103386817,3.693156930441698,5.0399591282063,33.33333333333333,,"(2, 1, 1)"
aster,Aster,3,Naive,success,VALIDATED_BASELINE,61,6,True,0.016666666666666663,0.01732050807568877,2.485442670387511,2.4996086732687566,2.5851522589707647,1.6033755274261599,2.941812675751671,3.0309988518943767,0.0,,
aster,Aster,3,XGBoost,success,EXPERIMENTAL,61,6,True,0.01570170005162556,0.018645522788801643,2.3599275183949744,2.3370548266485933,2.828042485785688,1.51054329610575,2.0770397615728844,4.337646411015434,50.0,,
aster,Aster,7,ARIMA,limited_test_data,VALIDATED,77,4,False,0.031026588382839893,0.03501645228497357,4.475441048482859,4.540551830437849,4.98995696477771,2.9848363507542173,4.115344488243316,6.9114137537170395,75.0,,"(2, 1, 1)"
aster,Aster,7,Naive,limited_test_data,VALIDATED_BASELINE,60,4,False,0.04249999999999993,0.04444097208657788,6.21519789065213,6.178475816617403,6.5157988211629085,4.088607594936701,5.711028192371465,8.446969696969688,0.0,,
aster,Aster,7,XGBoost,insufficient_data,EXPERIMENTAL,60,4,False,,,,,,,,,,"train=60, test=4, required_train=60, required_test=5",
aster,Aster,14,ARIMA,limited_test_data,VALIDATED,77,4,False,0.013740937982606921,0.015281748093492137,2.1120322455670997,2.0847911713027205,2.3506108011394407,1.3219130211115517,2.275583249857301,3.0735212457061936,100.0,,"(2, 1, 1)"
aster,Aster,14,Naive,limited_training_data,VALIDATED_BASELINE,57,4,False,0.022499999999999992,0.024999999999999977,3.455710955710954,3.3836286782084097,3.8438398068102573,2.1645569620253156,3.0769230769230793,5.230769230769224,0.0,,
aster,Aster,14,XGBoost,insufficient_data,EXPERIMENTAL,57,4,False,,,,,,,,,,"train=57, test=4, required_train=60, required_test=5",
aster,Aster,30,ARIMA,insufficient_data,VALIDATED,77,0,False,,,,,,,,,,,"(2, 1, 1)"
aster,Aster,30,Naive,limited_training_data,VALIDATED_BASELINE,49,0,False,,,,,,,,,,,
aster,Aster,30,XGBoost,insufficient_data,EXPERIMENTAL,49,0,False,,,,,,,,,,"train=49, test=0, required_train=60, required_test=5",
avax,Avalanche,1,ARIMA,success,VALIDATED,92,20,True,0.1967631256938862,0.25080353529309,2.0206251800106902,2.042987350425148,2.529106631423117,0.7408127611975028,1.63303518605046,4.096280073067402,45.0,,"(1, 1, 2)"
avax,Avalanche,1,Naive,success,VALIDATED_BASELINE,90,20,True,0.16900000000000032,0.21311968468445164,1.7471396124047527,1.7450017323912819,2.187774451559754,0.6362846503930504,1.3404782022205401,3.5937166631107402,5.0,,
avax,Avalanche,1,XGBoost,success,EXPERIMENTAL,90,20,True,0.26244550704956043,0.3541588291856169,2.6939690373332583,2.7591926736657,3.568923432199748,0.9881067911257756,2.02803336605321,5.8413508083919385,60.0,,
avax,Avalanche,3,ARIMA,success,VALIDATED,92,18,True,0.33366435940976086,0.41374983742192867,3.4199828358893045,3.4845610881898366,4.1648040346877835,1.2562456229329018,3.031319607364493,6.351868142399497,55.55555555555556,,"(1, 1, 2)"
avax,Avalanche,3,Naive,success,VALIDATED_BASELINE,90,18,True,0.33333333333333315,0.40689884082738137,3.463508015069467,3.456040648607229,4.219749498484783,1.2549993104399384,2.933412740509137,6.449573900097538,5.555555555555555,,
avax,Avalanche,3,XGBoost,success,EXPERIMENTAL,90,18,True,0.33019906785753034,0.4381079756166331,3.36494500367883,3.464434241740186,4.389918624972078,1.2431988074073337,2.968404154769212,6.842498829219043,61.111111111111114,,
avax,Avalanche,7,ARIMA,success,VALIDATED,92,15,True,0.4438411270651751,0.5363706175730856,4.523573771374022,4.652378276844015,5.3705172478601,1.6710609252350406,3.827243537897967,8.691986811132391,73.33333333333333,,"(1, 1, 2)"
avax,Avalanche,7,Naive,success,VALIDATED_BASELINE,89,15,True,0.6286666666666666,0.7037755323965164,6.5574069287059835,6.545228804625094,7.338655073848637,2.366928699489725,6.3034188034188015,11.720050282840985,0.0,,
avax,Avalanche,7,XGBoost,success,EXPERIMENTAL,89,15,True,0.4081369222005209,0.5214679024802702,4.1374094448374645,4.27770089487348,5.192997999736707,1.5366346677801985,2.9095837726534484,8.387968947168643,73.33333333333333,,
avax,Avalanche,14,ARIMA,success,VALIDATED,92,8,True,0.3481523202689105,0.4405049920304998,3.5772093700428766,3.6718996123133905,4.4648234377790486,1.3107927655966427,2.8292096855621565,6.657432647412519,100.0,,"(1, 1, 2)"
avax,Avalanche,14,Naive,success,VALIDATED_BASELINE,89,8,True,0.47499999999999987,0.5387253474638074,4.932108667324924,5.037836913595081,5.52059720469551,1.7883740173769127,5.087683955455791,7.5009474245252274,0.0,,
avax,Avalanche,14,XGBoost,success,EXPERIMENTAL,89,8,True,0.5105517292022705,0.6284823900564644,5.537958967857206,5.312846258193272,6.87009701717879,1.9222262042783043,5.290680100846413,10.399623703112827,62.5,,
avax,Avalanche,30,ARIMA,insufficient_data,VALIDATED,92,0,False,,,,,,,,,,,"(1, 1, 2)"
avax,Avalanche,30,Naive,limited_test_data,VALIDATED_BASELINE,83,0,False,,,,,,,,,,,
avax,Avalanche,30,XGBoost,insufficient_data,EXPERIMENTAL,83,0,False,,,,,,,,,,"train=83, test=0, required_train=60, required_test=5",
bch,Bitcoin Cash,1,ARIMA,success,VALIDATED,92,20,True,9.472618722213525,11.874237964565447,2.264707792322294,2.231996711702641,2.948823136450443,0.7568380836214011,1.7407238767398487,4.156346510799446,45.0,,"(1, 1, 2)"
bch,Bitcoin Cash,1,Naive,success,VALIDATED_BASELINE,90,20,True,7.759500000000003,10.706429610285593,1.841811785446454,1.8148511603581503,2.6674452098728683,0.6199642656458528,1.674624667849895,2.5698856377271775,0.0,,
bch,Bitcoin Cash,1,XGBoost,success,EXPERIMENTAL,90,20,True,37.44822912597657,51.24611091639139,9.282875270651086,8.504577971894962,13.213238792177435,2.9920180256232607,4.888784572236784,26.813052901003417,40.0,,
bch,Bitcoin Cash,3,ARIMA,success,VALIDATED,92,18,True,17.845347819960367,24.4626033787846,4.436218382306091,4.2607059232653635,6.343987914887975,1.4257977906303945,2.4036975619267174,11.88371535969121,44.44444444444444,,"(1, 1, 2)"
bch,Bitcoin Cash,3,Naive,success,VALIDATED_BASELINE,90,18,True,17.197222222222223,23.337158853068075,4.267888078464025,4.108863843066887,6.046139720237704,1.3740142078933613,2.8167120378980606,11.630354564734597,0.0,,
bch,Bitcoin Cash,3,XGBoost,success,EXPERIMENTAL,90,18,True,55.228304104275175,77.19665475780886,13.799816370681038,12.133391446617921,19.925759020080026,4.412600682630683,8.518470825450503,39.90859529840454,22.22222222222222,,
bch,Bitcoin Cash,7,ARIMA,success,VALIDATED,92,15,True,29.380849000708167,38.341483937875076,7.366633675044718,6.928560706023331,10.01178798519873,2.347454922968712,4.10420374795623,19.31312159280708,53.333333333333336,,"(1, 1, 2)"
bch,Bitcoin Cash,7,Naive,success,VALIDATED_BASELINE,89,15,True,29.464666666666663,37.76456090039973,7.367649562475473,6.944524646581014,9.83396182134359,2.3541517407693573,3.730589978737571,18.619866937751734,0.0,,
bch,Bitcoin Cash,7,XGBoost,success,EXPERIMENTAL,89,15,True,33.50008235677083,51.1986807856524,8.532904219563447,7.771126777961489,13.686067001194507,2.6765711653316595,3.625891834883089,24.71233656863944,46.666666666666664,,
bch,Bitcoin Cash,14,ARIMA,success,VALIDATED,92,8,True,40.9284217592537,52.79327106196232,10.720416939318229,9.816877550510887,14.150829467468624,3.2700765435942336,6.218406003943651,23.286766043972992,62.5,,"(1, 1, 2)"
bch,Bitcoin Cash,14,Naive,success,VALIDATED_BASELINE,89,8,True,41.436250000000015,54.28297557706285,10.875223327713137,9.922403838998862,14.558575489542312,3.310650725223013,6.4014342204998975,24.175515516994466,0.0,,
bch,Bitcoin Cash,14,XGBoost,success,EXPERIMENTAL,89,8,True,46.227261657714855,56.59904224752895,12.018975105931734,10.99310167202376,15.088301882372292,3.6934403410585563,8.456481436222633,23.965744256939967,12.5,,
bch,Bitcoin Cash,30,ARIMA,insufficient_data,VALIDATED,92,0,False,,,,,,,,,,,"(1, 1, 2)"
bch,Bitcoin Cash,30,Naive,limited_test_data,VALIDATED_BASELINE,83,0,False,,,,,,,,,,,
bch,Bitcoin Cash,30,XGBoost,insufficient_data,EXPERIMENTAL,83,0,False,,,,,,,,,,"train=83, test=0, required_train=60, required_test=5",
